TaskName,TrialID,TargetLocation,RoleA,B1_val_A,B2_val_A,B3_val_A,RoleB,B3_val_B,B2_val_B,B1_val_B
solo_saccade,1,1,,,,,,,,
solo_saccade,2,1,,,,,,,,
solo_saccade,3,1,,,,,,,,
solo_saccade,4,1,,,,,,,,
solo_saccade,5,1,,,,,,,,
solo_saccade,6,1,,,,,,,,
solo_saccade,7,1,,,,,,,,
solo_saccade,8,1,,,,,,,,
solo_saccade,9,1,,,,,,,,
solo_saccade,10,2,,,,,,,,
solo_saccade,11,2,,,,,,,,
solo_saccade,12,2,,,,,,,,
solo_saccade,13,2,,,,,,,,
solo_saccade,14,2,,,,,,,,
solo_saccade,15,2,,,,,,,,
solo_saccade,16,2,,,,,,,,
solo_saccade,17,2,,,,,,,,
solo_saccade,18,2,,,,,,,,
solo_saccade,19,3,,,,,,,,
solo_saccade,20,3,,,,,,,,
solo_saccade,21,3,,,,,,,,
solo_saccade,22,3,,,,,,,,
solo_saccade,23,3,,,,,,,,
solo_saccade,24,3,,,,,,,,
solo_saccade,25,3,,,,,,,,
solo_saccade,26,3,,,,,,,,
solo_saccade,27,3,,,,,,,,
solo_point,1,1,,,,,,,,
solo_point,2,1,,,,,,,,
solo_point,3,1,,,,,,,,
solo_point,4,1,,,,,,,,
solo_point,5,1,,,,,,,,
solo_point,6,1,,,,,,,,
solo_point,7,1,,,,,,,,
solo_point,8,1,,,,,,,,
solo_point,9,1,,,,,,,,
solo_point,10,2,,,,,,,,
solo_point,11,2,,,,,,,,
solo_point,12,2,,,,,,,,
solo_point,13,2,,,,,,,,
solo_point,14,2,,,,,,,,
solo_point,15,2,,,,,,,,
solo_point,16,2,,,,,,,,
solo_point,17,2,,,,,,,,
solo_point,18,2,,,,,,,,
solo_point,19,3,,,,,,,,
solo_point,20,3,,,,,,,,
solo_point,21,3,,,,,,,,
solo_point,22,3,,,,,,,,
solo_point,23,3,,,,,,,,
solo_point,24,3,,,,,,,,
solo_point,25,3,,,,,,,,
solo_point,26,3,,,,,,,,
solo_point,27,3,,,,,,,,
joint,1,1,Responder,1,2,4,Initiator,6,2,4
joint,2,1,Responder,2,1,3,Initiator,6,4,2
joint,3,1,Responder,1,3,5,Initiator,6,2,4
joint,4,1,Responder,4,3,6,Initiator,6,4,2
joint,5,1,Responder,1,6,5,Initiator,6,2,4
joint,6,1,Responder,3,5,1,Initiator,6,4,2
joint,7,1,Responder,2,6,5,Initiator,6,2,4
joint,8,1,Responder,5,1,4,Initiator,6,4,2
joint,9,1,Responder,5,1,3,Initiator,6,2,4
joint,10,2,Responder,3,4,2,Initiator,2,6,4
joint,11,2,Responder,4,5,1,Initiator,4,6,2
joint,12,2,Responder,5,3,1,Initiator,2,6,4
joint,13,2,Responder,6,5,4,Initiator,4,6,2
joint,14,2,Responder,3,2,5,Initiator,2,6,4
joint,15,2,Responder,1,5,3,Initiator,4,6,2
joint,16,2,Responder,4,2,1,Initiator,2,6,4
joint,17,2,Responder,1,3,6,Initiator,4,6,2
joint,18,2,Responder,3,1,5,Initiator,2,6,4
joint,19,3,Responder,5,6,2,Initiator,2,4,6
joint,20,3,Responder,6,5,3,Initiator,4,2,6
joint,21,3,Responder,1,3,5,Initiator,2,4,6
joint,22,3,Responder,2,1,6,Initiator,4,2,6
joint,23,3,Responder,3,4,1,Initiator,2,4,6
joint,24,3,Responder,3,5,1,Initiator,4,2,6
joint,25,3,Responder,6,4,3,Initiator,2,4,6
joint,26,3,Responder,5,3,2,Initiator,4,2,6
joint,27,3,Responder,5,1,3,Initiator,4,2,6
joint,28,1,Initiator,6,2,4,Responder,1,2,4
joint,29,1,Initiator,6,4,2,Responder,2,1,3
joint,30,1,Initiator,6,2,4,Responder,5,3,1
joint,31,1,Initiator,6,4,2,Responder,4,3,6
joint,32,1,Initiator,6,2,4,Responder,1,6,5
joint,33,1,Initiator,6,4,2,Responder,1,5,3
joint,34,1,Initiator,6,2,4,Responder,2,6,5
joint,35,1,Initiator,6,4,2,Responder,5,1,4
joint,36,1,Initiator,6,4,2,Responder,3,1,5
joint,37,2,Initiator,2,6,4,Responder,3,4,2
joint,38,2,Initiator,4,6,2,Responder,4,5,1
joint,39,2,Initiator,2,6,4,Responder,1,3,5
joint,40,2,Initiator,4,6,2,Responder,6,5,4
joint,41,2,Initiator,2,6,4,Responder,3,2,5
joint,42,2,Initiator,4,6,2,Responder,3,5,1
joint,43,2,Initiator,2,6,4,Responder,4,2,1
joint,44,2,Initiator,4,6,2,Responder,1,3,6
joint,45,2,Initiator,4,6,2,Responder,5,1,3
joint,46,3,Initiator,2,4,6,Responder,5,6,2
joint,47,3,Initiator,4,2,6,Responder,6,5,3
joint,48,3,Initiator,2,4,6,Responder,5,3,1
joint,49,3,Initiator,4,2,6,Responder,2,1,6
joint,50,3,Initiator,2,4,6,Responder,3,4,1
joint,51,3,Initiator,4,2,6,Responder,1,5,3
joint,52,3,Initiator,2,4,6,Responder,6,4,3
joint,53,3,Initiator,4,2,6,Responder,5,3,2
joint,54,3,Initiator,4,2,6,Responder,3,1,5
